Arjun(HD2009)[IC111822]	2555_IC111822
PBW-343[IC0240801]	2556_IC0240801
K-65[[IC128211]	2557_IC128211
LOK-1[IC144915]	2558_IC144915
Halna(K-7903)[IC296743]	2559_IC296743
HI-617(Sujata)[IC321936]	2560_IC321936
Sharbati Sonora[IC384542]	2561_IC384542
Agra Local[IC112111]	2562_IC112111
BANSI-224(GULAB)[IC145237]	2563_IC145237
Mundia[IC406697]	2565_IC406697
Jhusia[IC564106]	2566_IC564106
K-68[IC0128212]	2567_IC0128212
Vidisha(DL 788-2)[IC0138631]	2568_IC0138631
VL-829[IC0532689]	2569_IC0532689
Lal-bahadur[IC0111806]	2570_IC0111806
Motia[IC0111868]	2571_IC0111868
Narmada-4[IC0111848]	2572_IC0111848
Sonora-64[EC597821]	2573_EC597821
HS-240[IC0128195]	2574_IC0128195
HW-741[IC0128201]	2575_IC0128201
iGW-322[IC0303072]	2576_IC0303072
AMRITA(HI1500)[IC0296308]	2577_IC0296308
WH -147[IC0393877]	2578_IC0393877
K-53[IC0443747]	2579_IC0443747
HD-2888[IC0528118]	2580_IC0528118
HUW-234(Malvia Wheat-234)[IC0128199]	2581_IC0128199
NI-5439[IC0073206]	2582_IC0073206
UP-2338[IC0445595]	2583_IC0445595
[HD2931]	2584_HD2931
HD-2932[IC0519900]	2585_IC0519900
MACS-6222[IC0574481]	2586_IC0574481
A 090[IC112049]	2587_IC112049
NP-4[IC128237]	2588_IC128237
[Type-1]	2590_Type-1
HI-1531(Harshita)[IC527448]	2591_IC527448
Kharchia-lal-gehun[IC619437]	2592_IC619437
Safed Mundia[IC564129]	2593_IC564129
Katha Gehun[IC265322]	2594_IC265322
Narmada-l12[IC128236]	2595_IC128236
C-306[IC128151]	2596_IC128151
WR-544(PUSA GOLD)[IC253015]	2597_IC253015
Raj-3765[IC0443766]	2599_IC0443766
Niphad-4[IC0111801]	2600_IC0111801
Sonalika[EC597826]	2601_EC597826
UP-262[IC0128257]	2602_IC0128257
LGM-165[IC128317]	2603_IC128317
Pissi-local[IC321856]	2604_IC321856
HD-2189[IC0128167]	2606_IC0128167
HD-2967[IC0574476]	2607_IC0574476
DWR-225[IC0252526]	2608_IC0252526
DWR-162[IC0128161]	2609_IC0128161
DWR-16(Keerthi)[IC0075206]	2610_IC0075206
NP-101[IC0138588]	2611_IC0138588
Hango 2[IC640652]	2612_IC640652
Daulat Khani[IC573144]	2613_IC573144
MACS2496[IC128225]	2614_IC128225
Mundri[IC107371]	2615_IC107371
Sathi[IC398298]	2616_IC398298
WL711[IC296443]	2617_IC296443
8A[IC0111853]	2618_IC0111853
Narendra Wheat 2036(NW 2036)[IC0443761]	2628_IC0443761
Dharwad[IC277741]	2629_IC277741
NP846[IC128239]	2630_IC128239
Mondhya[IC138466]	2631_IC138466
Type-II[IC0111855]	2589_IC0111855
GW 2[IC401925]	2598_IC401925
